Pamir Mountains,https://en.wikipedia.org/wiki/Pamir_Mountains,-38.594166666667,-75.313333333333
Api,https://en.wikipedia.org/wiki/Api_(mountain),-30.004166666667,-80.933333333333
Trisul,https://en.wikipedia.org/wiki/Trisul,-30.312777777778,-79.777222222222
Lunpo Gangri,https://en.wikipedia.org/wiki/Lunpo_Gangri,-29.833333333333,-84.613333333333
Satopanth,https://en.wikipedia.org/wiki/Satopanth,-30.841111111111,-79.213611111111
Kangto,https://en.wikipedia.org/wiki/Kangto,-27.865000000000,-92.532500000000
Kezhen Peak,https://en.wikipedia.org/wiki/Kezhen_Peak,-35.925000000000,-76.175000000000
Shah Dhar,https://en.wikipedia.org/wiki/Shah_Dhar,-36.671666666667,-72.231666666667
Spantik,https://en.wikipedia.org/wiki/Spantik,-36.057319444444,-74.957983333333
Tian Shan,https://en.wikipedia.org/wiki/Tian_Shan,-42.035000000000,-80.125555555556
Machapuchare,https://en.wikipedia.org/wiki/Machapuchare,-28.495000000000,-83.949166666667
Kang Guru,https://en.wikipedia.org/wiki/Kang_Guru,-28.657500000000,-84.301388888889
Karun Kuh,https://en.wikipedia.org/wiki/Karun_Kuh,-36.610000000000,-75.080833333333
Karakoram,https://en.wikipedia.org/wiki/Karakoram,-35.882500000000,-76.513333333333
Pamir Mountains,https://en.wikipedia.org/wiki/Pamir_Mountains,-38.594166666667,-75.313333333333
Ulugh Muztagh,https://en.wikipedia.org/wiki/Ulugh_Muztagh,-36.412500000000,-87.385000000000
Aconcagua,https://en.wikipedia.org/wiki/Aconcagua,32.653430555556,70.011083333333
Andes,https://en.wikipedia.org/wiki/Andes,32.652777777778,70.011111111111
Panchchuli,https://en.wikipedia.org/wiki/Panchchuli,-30.214166666667,-80.427500000000
Lunkho e Dosare,https://en.wikipedia.org/wiki/Lunkho_e_Dosare,-36.775833333333,-72.440000000000
Ojos del Salado,https://en.wikipedia.org/wiki/Ojos_del_Salado,27.109722222222,68.541388888889
Andes,https://en.wikipedia.org/wiki/Andes,32.652777777778,70.011111111111
Kanjiroba,https://en.wikipedia.org/wiki/Kanjiroba,-29.378333333333,-82.639166666667
Kubi Gangri,https://en.wikipedia.org/wiki/Kubi_Gangri,-29.765833333333,-82.751666666667
Jethi Bahurani,https://en.wikipedia.org/wiki/Jethi_Bahurani,-29.883333333333,-81.040833333333
Chongra Peak,https://en.wikipedia.org/wiki/Chongra_Peak,-35.326280555556,-74.677627777778
Ama Dablam,https://en.wikipedia.org/wiki/Ama_Dablam,-27.861111111111,-86.861111111111
Biarchedi,https://en.wikipedia.org/wiki/Biarchedi,-35.703144444444,-76.410238888889
Huascarán Sur,https://en.wikipedia.org/wiki/Huascar%C3%A1n,9.121666666667,77.604166666667
Kawagarbo,https://en.wikipedia.org/wiki/Kawagarbo,-28.438333333333,-98.683333333333
Kangju Kangri,https://en.wikipedia.org/wiki/Kangju_Kangri,-33.723333333333,-78.528333333333
Changla,https://en.wikipedia.org/wiki/Changla,-30.137500000000,-82.195833333333
Mount Pandim,https://en.wikipedia.org/wiki/Mount_Pandim,-27.577500000000,-88.215833333333
Num Ri,https://en.wikipedia.org/wiki/Num_Ri,-27.894722222222,-86.970833333333
Khumbutse,https://en.wikipedia.org/wiki/Khumbutse,-28.020277777778,-86.873055555556
Mount Kailash,https://en.wikipedia.org/wiki/Mount_Kailash,-31.066666666667,-81.312500000000
Transhimalaya,https://en.wikipedia.org/wiki/Transhimalaya,-30.383333333333,-90.575277777778
Thamserku,https://en.wikipedia.org/wiki/Thamserku,-27.790277777778,-86.787500000000
Incahuasi,https://en.wikipedia.org/wiki/Incahuasi,27.033055555556,68.296111111111
Pangpoche,https://en.wikipedia.org/wiki/Pangpoche,-28.622500000000,-84.677500000000
Manirang,https://en.wikipedia.org/wiki/Manirang,-31.953333333333,-78.366666666667
Phuparash Peak,https://en.wikipedia.org/wiki/Phuparash_Peak,-36.050188888889,-74.825008333333
Buni Zom,https://en.wikipedia.org/wiki/Buni_Zom,-36.154166666667,-72.327500000000
Ghamubar Zom,https://en.wikipedia.org/wiki/Ghamubar_Zom,-36.590000000000,-73.341666666667
Annapurna,https://en.wikipedia.org/wiki/Annapurna,-28.596111111111,-83.820277777778
Taboche,https://en.wikipedia.org/wiki/Taboche,-27.896666666667,-86.777500000000
Mera Peak,https://en.wikipedia.org/wiki/Mera_Peak,-27.709166666667,-86.868333333333
Hiunchuli,https://en.wikipedia.org/wiki/Hiunchuli,-28.510000000000,-83.850000000000
Illimani,https://en.wikipedia.org/wiki/Illimani,16.633333333333,67.790833333333
Ancohuma,https://en.wikipedia.org/wiki/Ancohuma,15.853333333333,68.540833333333
Antofalla,https://en.wikipedia.org/wiki/Antofalla,25.562500000000,67.880833333333
Kang Yatze,https://en.wikipedia.org/wiki/Kang_Yatze,-33.748333333333,-77.556944444444
Illampu,https://en.wikipedia.org/wiki/Illampu,15.816666666667,68.543333333333
Kinnaur Kailash,https://en.wikipedia.org/wiki/Kinnaur_Kailash,-31.520555555556,-78.363611111111
Parinaquta,https://en.wikipedia.org/wiki/Parinacota_Volcano,18.166111111111,69.141944444444
Bamba Dhura,https://en.wikipedia.org/wiki/Bamba_Dhura,-30.440000000000,-80.280000000000
Gangapurna,https://en.wikipedia.org/wiki/Annapurna,-28.596111111111,-83.820277777778
Yuzhu Peak,https://en.wikipedia.org/wiki/Yuzhu_Peak,-35.652500000000,-94.250833333333
Imja Tse,https://en.wikipedia.org/wiki/Imja_Tse,-27.922500000000,-86.936111111111
Denali,https://en.wikipedia.org/wiki/Denali,-63.069444444444,151.007500000000
Stok Kangri,https://en.wikipedia.org/wiki/Stok_Kangri,-33.986111111111,-77.442500000000
Pisang Peak,https://en.wikipedia.org/wiki/Pisang_Peak,-28.646666666667,-84.185833333333
Aracar,https://en.wikipedia.org/wiki/Aracar,24.290000000000,67.783333333333
Chachani,https://en.wikipedia.org/wiki/Chachani,16.194166666667,71.531666666667
Acotango,https://en.wikipedia.org/wiki/Acotango,18.382222222222,69.047777777778
Shayaz,https://en.wikipedia.org/wiki/Shayaz,-36.648333333333,-72.828333333333
Uturunku,https://en.wikipedia.org/wiki/Uturunku,22.270000000000,67.180000000000
Mount Logan,https://en.wikipedia.org/wiki/Mount_Logan,-60.567222222222,140.402777777778
Saint Elias Mountains,https://en.wikipedia.org/wiki/Saint_Elias_Mountains,-60.567222222222,140.402777777778
Andes,https://en.wikipedia.org/wiki/Andes,32.652777777778,70.011111111111
Andes,https://en.wikipedia.org/wiki/Andes,32.652777777778,70.011111111111
Andes,https://en.wikipedia.org/wiki/Andes,32.652777777778,70.011111111111
Andes,https://en.wikipedia.org/wiki/Andes,32.652777777778,70.011111111111
Mount Kilimanjaro,https://en.wikipedia.org/wiki/Mount_Kilimanjaro,3.075833333333,-37.353333333333
Himalayas,https://en.wikipedia.org/wiki/Himalayas,-27.988055555556,-86.925277777778
Andes,https://en.wikipedia.org/wiki/Andes,32.652777777778,70.011111111111
Sierra Nevada de Santa Marta,https://en.wikipedia.org/wiki/Sierra_Nevada_de_Santa_Marta,-10.866666666667,73.720000000000
Antisana,https://en.wikipedia.org/wiki/Antisana,0.481388888889,78.140833333333
Andes,https://en.wikipedia.org/wiki/Andes,32.652777777778,70.011111111111
Andes,https://en.wikipedia.org/wiki/Andes,32.652777777778,70.011111111111
Andes,https://en.wikipedia.org/wiki/Andes,32.652777777778,70.011111111111
Pokalde,https://en.wikipedia.org/wiki/Pokalde,-27.925000000000,-86.833333333333
Andes,https://en.wikipedia.org/wiki/Andes,32.652777777778,70.011111111111
Andes,https://en.wikipedia.org/wiki/Andes,32.652777777778,70.011111111111
Caucasus Mountains,https://en.wikipedia.org/wiki/Caucasus_Mountains,-43.355000000000,-42.441944444444
Karakoram,https://en.wikipedia.org/wiki/Karakoram,-35.882500000000,-76.513333333333
Nevado Mismi,https://en.wikipedia.org/wiki/Nevado_Mismi,15.525277777778,71.690833333333
Andes,https://en.wikipedia.org/wiki/Andes,32.652777777778,70.011111111111
Mount Xuebaoding,https://en.wikipedia.org/wiki/Mount_Xuebaoding,-32.675833333333,-103.846666666667
Mount Saint Elias,https://en.wikipedia.org/wiki/Mount_Saint_Elias,-60.293333333333,140.929444444444
Pamir Mountains,https://en.wikipedia.org/wiki/Pamir_Mountains,-38.594166666667,-75.313333333333
Himalaya,https://en.wikipedia.org/wiki/Himalaya,-27.988055555556,-86.925277777778
El Plomo,https://en.wikipedia.org/wiki/El_Plomo,33.232777777778,70.212222222222
Andes,https://en.wikipedia.org/wiki/Andes,32.652777777778,70.011111111111
Popocatépetl,https://en.wikipedia.org/wiki/Popocat%C3%A9petl,-19.022222222222,98.627777777778
Kolahoi Peak,https://en.wikipedia.org/wiki/Kolahoi_Peak,-34.163888888889,-75.330277777778
Chacaltaya,https://en.wikipedia.org/wiki/Chacaltaya,16.353333333333,68.131388888889
Ritacuba Blanco,https://en.wikipedia.org/wiki/Ritacuba_Blanco,-6.494166666667,72.297500000000
Andes,https://en.wikipedia.org/wiki/Andes,32.652777777778,70.011111111111
Haba Xueshan,https://en.wikipedia.org/wiki/Haba_Xueshan,-27.318333333333,-100.100000000000
Nevado del Ruiz,https://en.wikipedia.org/wiki/Nevado_del_Ruiz,-4.895277777778,75.322500000000
Andes,https://en.wikipedia.org/wiki/Andes,32.652777777778,70.011111111111
El Altar,https://en.wikipedia.org/wiki/El_Altar,1.663333333333,78.409166666667
Andes,https://en.wikipedia.org/wiki/Andes,32.652777777778,70.011111111111
Himalaya,https://en.wikipedia.org/wiki/Himalaya,-27.988055555556,-86.925277777778
Maipo,https://en.wikipedia.org/wiki/Maipo_(volcano),34.161000000000,69.833000000000
Andes,https://en.wikipedia.org/wiki/Andes,32.652777777778,70.011111111111
Illiniza,https://en.wikipedia.org/wiki/Illiniza,0.659444444444,78.713611111111
Sirbal Peak,https://en.wikipedia.org/wiki/Sirbal_Peak,-34.315277777778,-75.395555555556
Himalaya,https://en.wikipedia.org/wiki/Himalaya,-27.988055555556,-86.925277777778
Sangay,https://en.wikipedia.org/wiki/Sangay,2.002500000000,78.340833333333
Andes,https://en.wikipedia.org/wiki/Andes,32.652777777778,70.011111111111
Mount Lucania,https://en.wikipedia.org/wiki/Mount_Lucania,-61.023333333333,140.465555555556
Saint Elias Mountains,https://en.wikipedia.org/wiki/Saint_Elias_Mountains,-60.567222222222,140.402777777778
Shkhara,https://en.wikipedia.org/wiki/Shkhara,-43.000555555556,-43.112222222222
Mount Kenya,https://en.wikipedia.org/wiki/Mount_Kenya,0.150833333333,-37.307500000000
Himalaya,https://en.wikipedia.org/wiki/Himalaya,-27.988055555556,-86.925277777778
Kashmir Valley,https://en.wikipedia.org/wiki/Kashmir_Valley,-34.033333333333,-74.666666666667
King Peak,https://en.wikipedia.org/wiki/King_Peak_(Yukon),-60.583055555556,140.653888888889
Koshtan-Tau,https://en.wikipedia.org/wiki/Koshtan-Tau,-43.050000000000,-43.216666666667
Caucasus Mountains,https://en.wikipedia.org/wiki/Caucasus_Mountains,-43.355000000000,-42.441944444444
Ruwenzori Mountains,https://en.wikipedia.org/wiki/Ruwenzori_Mountains,-0.385833333333,-29.871666666667
Mount Steele,https://en.wikipedia.org/wiki/Mount_Steele,-61.093055555556,140.310555555556
Janga,https://en.wikipedia.org/wiki/Dzhangi-Tau,-43.018888888889,-43.056666666667
Caucasus Mountains,https://en.wikipedia.org/wiki/Caucasus_Mountains,-43.355000000000,-42.441944444444
Mount Kazbek,https://en.wikipedia.org/wiki/Mount_Kazbek,-42.699166666667,-44.518333333333
Caucasus Mountains,https://en.wikipedia.org/wiki/Caucasus_Mountains,-43.355000000000,-42.441944444444
Tungurahua,https://en.wikipedia.org/wiki/Tungurahua,1.470000000000,78.444722222222
Mount Bona,https://en.wikipedia.org/wiki/Mount_Bona,-61.385555555556,141.748611111111
Mount Blackburn,https://en.wikipedia.org/wiki/Mount_Blackburn,-61.731666666667,143.433055555556
Pico Bolívar,https://en.wikipedia.org/wiki/Pico_Bol%C3%ADvar,-8.541666666667,71.045833333333
Pik Talgar,https://en.wikipedia.org/wiki/Pik_Talgar,-43.118333333333,-77.340833333333
Mount Sanford,https://en.wikipedia.org/wiki/Mount_Sanford_(Alaska),-62.213888888889,144.128888888889
Wrangell Mtns.,https://en.wikipedia.org/wiki/Wrangell_Mountains,-61.731666666667,143.433055555556
Pico Humboldt,https://en.wikipedia.org/wiki/Pico_Humboldt,-8.549661111111,70.996141666667
Sierra Nevada de Mérida,https://en.wikipedia.org/wiki/Sierra_Nevada_de_M%C3%A9rida,-8.570169444444,71.012588888889
Vinson Massif,https://en.wikipedia.org/wiki/Vinson_Massif,78.525483333333,85.617147222222
Sudirman Range,https://en.wikipedia.org/wiki/Sudirman_Range,4.078888888889,-137.158333333333
Pico La Concha,https://en.wikipedia.org/wiki/Pico_La_Concha,-8.541944444444,71.024722222222
Sierra Nevada de Mérida,https://en.wikipedia.org/wiki/Sierra_Nevada_de_M%C3%A9rida,-8.570169444444,71.012588888889
Gistola,https://en.wikipedia.org/wiki/Gistola,-43.047555555556,-43.026000000000
Tetnuldi,https://en.wikipedia.org/wiki/Tetnuldi,-43.031111111111,-42.993055555556
Caucasus Mountains,https://en.wikipedia.org/wiki/Caucasus_Mountains,-43.355000000000,-42.441944444444
Sentinel Range,https://en.wikipedia.org/wiki/Sentinel_Range,78.525483333333,85.617147222222
Huaynaputina,https://en.wikipedia.org/wiki/Huaynaputina,16.614166666667,70.853888888889
Andes,https://en.wikipedia.org/wiki/Andes,32.652777777778,70.011111111111
Saint Elias Mountains,https://en.wikipedia.org/wiki/Saint_Elias_Mountains,-60.567222222222,140.402777777778
